[DEBUG:2022-04-26 22:07:41,831] Sending the first query
[DEBUG:2022-04-26 22:07:44,525] Collections: {col_count}
[DEBUG:2022-04-26 22:07:44,525] Total: 50
[DEBUG:2022-04-26 22:07:44,525] Status: 0
[DEBUG:2022-04-26 22:07:44,525] Status: 1
[DEBUG:2022-04-26 22:07:44,526] Status: 2
[DEBUG:2022-04-26 22:07:44,526] Status: 3
[DEBUG:2022-04-26 22:07:44,526] Status: 4
[DEBUG:2022-04-26 22:07:44,526] Status: 5
[DEBUG:2022-04-26 22:07:44,526] Status: 6
[DEBUG:2022-04-26 22:07:44,526] Status: 7
[DEBUG:2022-04-26 22:07:44,526] Status: 8
[DEBUG:2022-04-26 22:07:44,526] Status: 9
[DEBUG:2022-04-26 22:07:44,526] Status: 10
[DEBUG:2022-04-26 22:07:44,526] Status: 11
[DEBUG:2022-04-26 22:07:44,527] Status: 12
[DEBUG:2022-04-26 22:07:44,527] Status: 13
[DEBUG:2022-04-26 22:07:44,527] Status: 14
[DEBUG:2022-04-26 22:07:44,527] Status: 15
[DEBUG:2022-04-26 22:07:44,527] Status: 16
[DEBUG:2022-04-26 22:07:44,527] Status: 17
[DEBUG:2022-04-26 22:07:44,527] Status: 18
[DEBUG:2022-04-26 22:07:44,527] Status: 19
[DEBUG:2022-04-26 22:07:44,527] Status: 20
[DEBUG:2022-04-26 22:07:44,527] Status: 21
[DEBUG:2022-04-26 22:07:44,527] Status: 22
[DEBUG:2022-04-26 22:07:44,527] Status: 23
[DEBUG:2022-04-26 22:07:44,527] Status: 24
[DEBUG:2022-04-26 22:07:44,527] Status: 25
[DEBUG:2022-04-26 22:07:44,527] Status: 26
[DEBUG:2022-04-26 22:07:44,528] Status: 27
[DEBUG:2022-04-26 22:07:44,543] Status: 28
[DEBUG:2022-04-26 22:07:44,543] Status: 29
[DEBUG:2022-04-26 22:07:44,543] Status: 30
[DEBUG:2022-04-26 22:07:44,543] Status: 31
[DEBUG:2022-04-26 22:07:44,543] Status: 32
[DEBUG:2022-04-26 22:07:44,543] Status: 33
[DEBUG:2022-04-26 22:07:44,543] Status: 34
[DEBUG:2022-04-26 22:07:44,543] Status: 35
[DEBUG:2022-04-26 22:07:44,543] Status: 36
[DEBUG:2022-04-26 22:07:44,543] Status: 37
[DEBUG:2022-04-26 22:07:44,543] Status: 38
[DEBUG:2022-04-26 22:07:44,543] Status: 39
[DEBUG:2022-04-26 22:07:44,543] Status: 40
[DEBUG:2022-04-26 22:07:44,543] Status: 41
[DEBUG:2022-04-26 22:07:44,544] Status: 42
[DEBUG:2022-04-26 22:07:44,544] Status: 43
[DEBUG:2022-04-26 22:07:44,544] Status: 44
[DEBUG:2022-04-26 22:07:44,544] Status: 45
[DEBUG:2022-04-26 22:07:44,544] Status: 46
[DEBUG:2022-04-26 22:07:44,544] Status: 47
[DEBUG:2022-04-26 22:07:44,544] Status: 48
[DEBUG:2022-04-26 22:07:44,544] Status: 49
[WARNING:2022-04-26 22:07:44,544] Nice!
[WARNING:2022-04-26 22:11:36,049] NFT logging enabled
[DEBUG:2022-04-26 22:11:36,306] Sending the first query
[DEBUG:2022-04-26 22:11:59,502] Collections: {col_count}
[DEBUG:2022-04-26 22:11:59,503] Total: 150
[WARNING:2022-04-26 22:11:59,503] Nice!
[DEBUG:2022-04-26 22:14:09,427] NFT logging enabled
[DEBUG:2022-04-26 22:14:09,427] Sending the first query
[DEBUG:2022-04-26 22:14:11,402] Collections: 319
[DEBUG:2022-04-26 22:14:11,403] Total: 150
